시설,lat,lon
화성-남양-남양 615호,37.20705176,126.8314121
화성-남양-남양 617호,37.20436113,126.8323511
화성-남양-남양 618호,37.20311476,126.8312916
화성-남양-남양 619호,37.20210248,126.8306962
화성-남양-남양 621호,37.20124462,126.8278461
화성-남양-남양 622호,37.19963753,126.8273871
화성-남양-남양 623호,37.20000553,126.8270139
화성-남양-남양 625호,37.20000389,126.8284093
화성-남양-남양 626호,37.20070293,126.8294508
화성-남양-남양 627호,37.20325769,126.8329788
화성-반송-반송 257호,37.20881812,127.0631472
화성-반송-반송 258호,37.20676881,127.0624399
화성-반송-반송 261호,37.20935404,127.0618142
화성-반송-반송 262호,37.20807353,127.0609146
화성-반송-반송 263호,37.202104,127.0594968
화성-반송-반송 264호,37.20328871,127.0596857
화성-반송-반송 265호,37.20175635,127.0596946
화성-반송-반송 268호,37.20281987,127.0620887
화성-반송-반송 269호,37.19666791,127.0657975
화성-반송-반송 270호,37.19542858,127.0663993
화성-반송-반송 272호,37.1919681,127.0678155
화성-반송-반송 273호,37.19424745,127.065729
화성-반송-반송 274호,37.19250395,127.0659453
화성-향남-향남 56호,37.08833229,126.8996297
화성-남양-남양 629호,37.20448788,126.8337589
화성-남양-남양 631호,37.20402146,126.8334653
화성-남양-남양 633호,37.20757312,126.8331895
화성-봉담-봉담 338호,37.22641199,126.9545094
화성-봉담-봉담 339호,37.17366645,126.9339652
화성-봉담-봉담 340호,37.19861157,126.9395016
화성-봉담-봉담 341호,37.25817289,126.8922173
화성-봉담-봉담 343호,37.26901182,126.8655352
화성-봉담-봉담 453호,37.21978593,126.9539769
화성-봉담-봉담 455호,37.22041285,126.9546726
화성-봉담-봉담 456호,37.21969316,126.9553639
화성-봉담-봉담 458호,37.21903558,126.9554588
화성-봉담-봉담 459호,37.21723596,126.9549395
화성-봉담-봉담 460호,37.21779683,126.956305
화성-봉담-봉담 462호,37.21757885,126.9581969
화성-남양-남양 444호,37.15799036,126.6744008
화성-남양-남양 445호,37.15771874,126.6716446
화성-남양-남양 447호,37.16010641,126.6702107
화성-남양-남양 448호,37.16077696,126.6694263
화성-남양-남양 450호,37.1607288,126.6711666
화성-봉담-봉담 463호,37.21759194,126.9590872
화성-봉담-봉담 464호,37.21835856,126.9591832
화성-봉담-봉담 465호,37.21711889,126.9601162
화성-봉담-봉담 466호,37.21706036,126.9611198
화성-봉담-봉담 467호,37.21558094,126.959508
화성-봉담-봉담 468호,37.21508129,126.9599187
화성-봉담-봉담 469호,37.21645439,126.9610946
화성-봉담-봉담 470호,37.21590062,126.9621668
화성-향남-화성소방서 554호,37.12924826,126.9142121
화성-향남-화성소방서 555호,37.13022904,126.9155617
화성-향남-화성소방서 557호,37.12989712,126.9183742
화성-향남-화성소방서 558호,37.13093805,126.9205599
화성-향남-화성소방서 559호,37.13145541,126.9176063
화성-향남-화성소방서 561호,37.13079701,126.9138737
화성-향남-화성소방서 562호,37.1313901,126.9062586
화성-향남-화성소방서 517호,37.13213243,126.9214853
화성-향남-화성소방서 520호,37.13267657,126.9236687
화성-향남-화성소방서 521호,37.13206104,126.9216322
화성-남양-남양 451호,37.16117976,126.6709208
화성-남양-남양 452호,37.15958635,126.6730479
화성-남양-남양 351호,37.21581808,126.7311835
화성-남양-남양 352호,37.21568145,126.7365385
화성-남양-남양 353호,37.21425299,126.7358766
화성-남양-남양 354호,37.21309905,126.7367766
화성-남양-남양 355호,37.22101234,126.7382698
화성-남양-남양 356호,37.21287265,126.7315562
화성-남양-남양 363호,37.21107386,126.7604546
화성-남양-남양 644호,37.21359407,126.739176
화성-남양-남양 651호,37.21693784,126.7384757
화성-남양-남양 480호,37.17286576,126.6181495
화성-남양-남양 저수조 1호,37.21175882,126.8237858
화성-남양-남양 36호,37.20928164,126.8162234
화성-장안-장안 572호,37.08792801,126.822896
화성-장안-장안 573호,37.08734842,126.8261962
화성-장안-장안 574호,37.0908784,126.8243812
화성-장안-장안 576호,37.08662657,126.8222999
화성-향남-화성소방서 525호,37.13067375,126.9289595
화성-향남-화성소방서 652호,37.13295312,126.9087795
화성-향남-화성소방서 526호,37.12873769,126.927793
화성-향남-화성소방서 527호,37.12892439,126.9253937
화성-향남-화성소방서 528호,37.13036558,126.9235382
화성-향남-화성소방서 530호,37.12945523,126.9218684
화성-향남-화성소방서 640호,37.07550479,126.9397312
화성-장안-장안 577호,37.08603716,126.8206522
화성-장안-장안 578호,37.08494508,126.8214486
화성-장안-장안 579호,37.08424381,126.8217699
화성-장안-장안 580호,37.08641459,126.8238673
화성-장안-장안 584호,37.12993832,126.8391255
화성-장안-장안 585호,37.08401896,126.8187115
화성-장안-장안 국화 1호,37.06086648,126.5562301
화성-장안-장안 국화 2호,37.06234024,126.5572214
화성-정남-정남 639호,37.15719474,126.9615077
화성-정남-정남 423호,37.19283245,126.9796578
화성-정남-정남 417호,37.15604462,126.9671615
화성-정남-정남 662호,37.14924274,126.9615358
화성-정남-정남 422호,37.18375612,126.9965668
화성-정남-정남 481호,37.16509424,127.0022844
화성-반송-반송 276호,37.18926961,127.0706059
화성-반송-반송 278호,37.18725983,127.0739634
화성-반송-반송 279호,37.1869952,127.068095
화성-남양-남양 357호,37.2367332,126.8680584
화성-남양-남양 358호,37.22623509,126.8577777
화성-남양-남양 359호,37.2472517,126.8773088
화성-남양-남양 642호,37.19934707,126.8976135
화성-남양-남양 656호,37.25098533,126.8725421
화성-남양-남양 362호,37.21418262,126.7765027
화성-남양-남양 364호,37.2076195,126.7835907
화성-남양-남양 365호,37.2004147,126.7558805
화성-반송-반송 280호,37.18794369,127.0711316
화성-반송-반송 281호,37.18728062,127.0722282
화성-반송-반송 282호,37.18699274,127.0698976
화성-반송-반송 283호,37.18665131,127.0684833
화성-반송-반송 285호,37.18563672,127.0701228
화성-반송-반송 286호,37.18654913,127.0761243
화성-반송-반송 287호,37.18564405,127.0809125
화성-반송-반송 288호,37.1853331,127.0821986
화성-반송-반송 289호,37.18865564,127.0834344
화성-반송-반송 291호,37.18814521,127.0786327
화성-반송-반송 293호,37.19301312,127.0807539
화성-반송-반송 297호,37.18975075,127.0726816
화성-반송-반송 298호,37.19001812,127.0739591
화성-남양-남양 374호,37.18592182,126.7924031
화성-남양-남양 375호,37.18571761,126.7929233
화성-남양-남양 376호,37.18539689,126.7935572
화성-남양-남양 377호,37.18526296,126.7937725
화성-남양-남양 378호,37.18465867,126.7888993
화성-남양-남양 379호,37.18503296,126.7899779
화성-남양-남양 381호,37.18341601,126.7924152
화성-남양-남양 382호,37.18240563,126.7937878
화성-봉담-봉담 471호,37.21473315,126.9627951
화성-봉담-봉담 473호,37.21363956,126.961304
화성-봉담-봉담 474호,37.21353827,126.9569143
화성-봉담-봉담 475호,37.21346577,126.9576064
화성-봉담-봉담 478호,37.16302824,126.9314794
화성-봉담-봉담 566호,37.18779782,126.9381882
화성-봉담-봉담 567호,37.21557897,126.9524148
화성-봉담-봉담 638호,37.15980976,126.9165777
화성-봉담-봉담 647호,37.22527097,126.9719111
화성-봉담-봉담 653호,37.19372383,126.9391966
화성-남양-남양 47호,37.18407473,126.7940427
화성-향남-향남 21호,37.08903765,126.9163333
화성-향남-향남 22호,37.0873081,126.9165716
화성-향남-향남 24호,37.08448409,126.9127002
화성-향남-향남 25호,37.08523468,126.9147085
화성-향남-향남 26호,37.08703243,126.9118593
화성-향남-향남 28호,37.08846401,126.9151675
화성-향남-향남 29호,37.08981214,126.9143583
화성-향남-향남 31호,37.08663892,126.9100133
화성-향남-향남 32호,37.08458668,126.9094591
화성-향남-향남 33호,37.08346756,126.910998
화성-향남-향남 34호,37.08235494,126.9121782
화성-향남-향남 35호,37.08257708,126.9077646
화성-향남-향남 36호,37.0803349,126.9064319
화성-향남-향남 37호,37.08183063,126.9063078
화성-향남-향남 38호,37.08328163,126.9062515
화성-향남-향남 39호,37.0830859,126.9085707
화성-반송-반송 204호,37.22119257,127.0700417
화성-반송-반송 205호,37.22260044,127.0729982
화성-반송-반송 206호,37.22185918,127.0749185
화성-반송-반송 207호,37.22090681,127.0757422
화성-반송-반송 208호,37.21942695,127.0764961
화성-반송-반송 209호,37.21821008,127.0778808
화성-반송-반송 211호,37.2177759,127.0799909
화성-반송-반송 213호,37.21281512,127.0790384
화성-반송-반송 214호,37.21359592,127.0763611
화성-반송-반송 215호,37.21334956,127.0754293
화성-반송-반송 217호,37.21119251,127.0724647
화성-반송-반송 218호,37.21027468,127.0800278
화성-반송-반송 220호,37.21120229,127.0811477
화성-반송-반송 221호,37.20817125,127.081422
화성-반송-반송 223호,37.20752166,127.0766006
화성-반송-반송 224호,37.20801092,127.0792111
화성-반송-반송 226호,37.20736021,127.0736926
화성-반송-반송 227호,37.20653559,127.0749932
화성-태안-태안 118호,37.2153736,127.0449874
화성-태안-태안 119호,37.2136626,127.0426971
화성-태안-태안 120호,37.21402378,127.0475525
화성-태안-태안 121호,37.21190892,127.0484555
화성-태안-태안 122호,37.21265193,127.0518434
화성-태안-태안 124호,37.20671436,127.0465011
화성-태안-태안 125호,37.20467215,127.0440002
화성-태안-태안 126호,37.20619804,127.0447932
화성-태안-태안 128호,37.2073993,127.043073
화성-태안-태안 129호,37.21046927,127.0420852
화성-태안-태안 132호,37.21147341,127.0430146
화성-태안-태안 133호,37.21121353,127.0410777
화성-태안-태안 134호,37.2088598,127.0403856
화성-태안-태안 136호,37.2198024,127.0360663
화성-태안-태안 137호,37.2188624,127.0354183
화성-태안-태안 138호,37.21899319,127.0365897
화성-태안-태안 139호,37.21904416,127.0380997
화성-태안-태안 140호,37.219525,127.0365864
화성-반송-반송 228호,37.20497247,127.0739652
화성-반송-반송 229호,37.20277389,127.074203
화성-반송-반송 231호,37.20171356,127.0725152
화성-반송-반송 232호,37.20105999,127.0713616
화성-반송-반송 233호,37.2028998,127.0716217
화성-반송-반송 235호,37.20943468,127.0699445
화성-반송-반송 236호,37.20678015,127.067134
화성-반송-반송 237호,37.20584905,127.0695564
화성-반송-반송 238호,37.20522365,127.0675803
화성-반송-반송 239호,37.20286434,127.0670486
화성-반송-반송 241호,37.20279929,127.0675789
화성-반송-반송 242호,37.19981223,127.0672687
