공공기관명,lat,lon
동탄능동마을 주공아파트(지하주차장 1층)(7-1단지),37.2171301,127.0586313
동탄 센트럴 포레스트 지하주차장 1층,37.1966919,127.0674356
우남퍼스트빌아파트 지하주차장 2~1층,37.2001106,127.0663363
월드메르디앙반도유보라아파트 지하주차장 2~1층,37.2024729,127.0657646
금호어울림아파트 지하주차장 2~1층,37.2056282,127.066714
동탄나루마을 한화꿈에그린아파트 지하주차장 1층,37.1910923,127.0728524
동탄새강마을 휴먼시아2차 지하주차장 1층,37.1935105,127.0693401
동탄능동마을 주공아파트 지하주차장 1층(7-4단지),37.211345,127.0613138
참누리아파트2단지 지하주차장 1~2층,37.2198054,127.0534343
참누리아파트1단지 지하주차장 1층,37.2199606,127.0503727
행림마을 삼성래미안2차 지하1층,37.2232903,127.0510808
화성 태안푸르지오 지하주차장 1층,37.2277039,127.0444374
동탄아이파크아파트 지하주차장 1층,37.2065761,127.0703133
KCC스위첸아파트 지하주차장 1층,37.2019582,127.1185113
마도면 문화센터 지하1층,37.2049822,126.7702991
휴먼시아 아파트 지하주차장 1층,37.2664001,126.8799499
메타역 롯데캐슬 아파트 지하주차장 2~1층,37.2009599,127.0700453
삼성래미안아파트 지하주차장 3~1층,37.2008437,127.0684906
병점 한신아파트 지하주차장 1~2층,37.2029498,127.0430538
안화동마을 주공5단지아파트 지하주차장 1층,37.2102875,127.0468614
대창그린아파트 지하주차장 1층,37.2063713,127.0385088
병점 주공1단지아파트 지하주차장 1층,37.2073859,127.0402236
안화동마을 주공8단지아파트 지하주차장 1층,37.2149258,127.047333
안화동마을 주공7단지아파트 지하주차장 1층,37.2135923,127.0491097
다정마을 신한에스빌 1단지 지하주차장 1층,37.2095805,127.0387725
다정마을 신한에스빌 2단지 지하주차장 1층,37.2085548,127.0395053
병점역센트럴뷰 아파트 지하주차장 1층,37.2101896,127.0433343
진안골마을 주공10단지 지하주차장 1층,37.2160729,127.0422443
진안골마을 주공12단지 지하주차장 1층,37.217775,127.041155
월드메르디앙2차아파트 지하주차장 1층,37.2139491,127.0352601
남수원두산아파트 지하주차장 1층,37.2050574,127.0422357
월드메르디앙1차아파트 지하주차장 1층,37.2156276,127.0362182
화남1차아파트 지하주차장 1층~2층,37.2131362,127.036724
화남2차아파트 지하주차장 1층,37.2122965,127.0370995
병점 임광그대가아파트 지하주차장 1층,37.2015999,127.0424067
"동화마을 동일하이빌 지하주차장 1,2층",37.2163377,126.9564474
양지마을 쌍용예가 지하주차장 1층,37.2418941,126.9531093
"동남메리트 수정마을 지하주차장 1,2,3층",37.2230878,126.9511441
호수마을 동문굿모닝힐 지하주차장 1층,37.2180269,126.9517371
"한신아파트 지하주차장 1,2층",37.2168171,126.9496084
수성효성아파트 지하주차장 1층,37.2163791,126.9744978
"다온마을쌍용스윗닷홈 지하주차장 1,2층",37.2106669,126.9703938
"신명아파트 지하주차장 1,2층",37.2129643,126.9730893
해오름마을 봉담그대가1단지 지하주차장1층,37.2152952,126.9747809
"신일 우남 클래식타운 지하주차장 1,2층",37.2262778,126.9702604
"신일해피트리2차 지하주차장 1,2층",37.2159563,126.9786339
천산스카이빌 아파트 전체 동의 지하주차장 1층,37.2357835,126.8648568
서신면행정복지센터 지하1층,37.1662107,126.7088664
송산면행정복지센터 지하 1층,37.2178749,126.738985
대방 노블랜드2차 아파트(지하1층),37.289857,126.8177573
요진 Y시티 아파트(지하1층),37.2870796,126.8210768
대방 노블랜드1차 아파트(지하1층),37.2860111,126.819177
이지더원 레이크빌 아파트(지하1층),37.2840041,126.8230015
더 펠리체 휴먼빌 아파트(지하1층),37.2801946,126.8241867
반도 유보라 아이파크 아파트(지하1층),37.2801297,126.8218483
새솔동 행정복지센터(지하1층),37.2812059,126.8187549
양감면 행정복지센터 지하주차장 1층,37.0818625,126.9460528
반달마을 대우푸르지오 지하1층,37.2329202,127.0674396
신영통현대아파트 4단지 지하1~2층,37.2334071,127.0617495
신영통현대아파트 3단지 지하1~2층,37.2315633,127.0605934
신영통현대아파트 2단지 지하1~2층,37.2315367,127.0562345
반달마을 두산위브 2단지 지하1~2층,37.234918,127.0646868
반달마을 두산위브 1단지 지하1~2층,37.2368543,127.0667179
신영통현대아파트 1단지 지하1~2층,37.2342718,127.0596504
기산아파트 지하 1층,37.0838651,126.8150848
금광임대아파트 지하 1층,37.0822906,126.8096948
기안마을풍성신미주(지하1층),37.2214075,126.987371
장안면 행정복지센터 A동 지하1층,37.0795363,126.831368
근형심포니아파트 전체 동의 지하주차장 1층,37.1340328,127.0114478
송화마을 우남퍼스트빌3차아파트 지하주차장 1층,37.1985819,127.0417207
병점역 한일타운아파트 지하주차장 1~2층,37.1991301,127.0385322
팔탄면행정복지센터 지하 1층,37.1620622,126.9048367
병점역성호플레르빌아파트 지하주차장 1층,37.199806,127.0248297
화성발안 우림필유 지하주차장 1층,37.1293313,126.9030431
서봉마을 모아엘가 지하주차장 1층,37.11273,126.9133709
서봉마을 사랑으로 부영3단지 지하주차장 1층,37.1182444,126.9131199
서봉마을 아파트 1단지 지하주차장 1층,37.1201784,126.9138732
서봉마을 아파트 2단지 지하주차장 1층,37.1195945,126.9169583
오색마을 사랑으로 부영9단지 지하주차장 1층,37.112557,126.9184848
오색마을 사랑으로 부영10단지 지하주차장 1층,37.1113622,126.9215073
오색마을 사랑으로 부영11단지 지하주차장 1층,37.1104581,126.9171501
한우물마을 휴먼시아6단지 지하주차장 1층,37.1241495,126.9184711
복사꽃마을 휴먼시아7단지 지하주차장 1층,37.1339881,126.9256033
화성파크드림아파트 지하주차장 1층,37.126941,126.9283621
살구꽃마을 풍림아이원 지하주차장 1층,37.1293431,126.9288456
상록하늘채아파트 지하주차장 1층,37.1320128,126.9252202
한국아델리움아파트 지하주차장 1층,37.1315806,126.9288946
한우물마을 휴먼시아5단지 지하주차장 1층,37.1243817,126.9157038
신명스카이뷰아파트 지하주차장 1층,37.1272049,126.916106
에일린의 뜰 아파트 지하주차장 1층,37.1270195,126.9193874
신영지웰아파트 지하주차장 1층,37.1268685,126.9218945
한일베라체아파트 지하주차장 1층,37.1269672,126.9256689
향남시범 넓은들마을 우미린 지하주차장 1층,37.1290032,126.9162668
향남지웰2차아파트 지하주차장 1층,37.1287622,126.9196072
제일오투그란데아파트 지하주차장 1층,37.1285778,126.9223378
대방노블랜드아파트 지하주차장 1층,37.130152,126.9253007
남수원현대아파트 지하주차장 1층,37.2062347,127.0103433
우남블루존아파트 지하주차장 1층,37.2091107,127.0085666
동문굿모닝힐아파트 지하주차장 1층,37.2041373,127.021603
신미주아파트 지하주차장 1~2층,37.2120357,127.0515145
신일해피트리(지하1층),37.223398,126.977464
