단지명,회사명,"공장대표주소(지번, 도로명 주소)",매핑된 업종명
화성동탄일반산업단지,(주)유진메디케어,경기도 화성시 방교동 798-3,기타
화성동탄일반산업단지,(주)은성산업,경기도 화성시 방교동 843-4,전기전자
화성동탄일반산업단지,(주)이랜텍,경기도 화성시 방교동 841-1번지,기타
화성동탄일반산업단지,(주)이랜텍,경기도 화성시 방교동 796-5,기타
화성동탄일반산업단지,(주)이레에프에이,경기도 화성시 방교동 837-7번지,전기전자
화성동탄일반산업단지,(주)이엔씨테크놀로지,경기도 화성시 방교동 831-3,전기전자
화성동탄일반산업단지,(주)이엠텍 동탄 사업장,경기도 화성시 방교동 824-4번지,전기전자
화성동탄일반산업단지,(주)이젠,경기도 화성시 방교동 840-5,전기전자
화성동탄일반산업단지,(주)이즈컨텍,경기도 화성시 방교동 838-5,전기전자
화성동탄일반산업단지,(주)인터텍,경기도 화성시 방교동 846-8번지,전기전자
화성동탄일반산업단지,(주)일진정공,경기도 화성시 방교동 831-1,기타
화성동탄일반산업단지,(주)자비스 ,경기도 화성시 방교동 824-2,기타
화성동탄일반산업단지,(주)저스템,경기도 화성시 방교동 785-9번지,전기전자
화성동탄일반산업단지,(주)제너럴도크,경기도 화성시 방교동 796-5번지,기타
화성동탄일반산업단지,(주)제너코트,경기도 화성시 방교동 796-2번지,기타
화성동탄일반산업단지,(주)제이오션,경기도 화성시 방교동 874-1번지,전기전자
화성동탄일반산업단지,(주)제이케이시스템즈 ,경기도 화성시 동탄기흥로 152 (방교동),운송장비
화성동탄일반산업단지,(주)조인솔루션,경기도 화성시 방교동 837-2번지,전기전자
화성동탄일반산업단지,(주)지알테크 ,경기도 화성시 방교동 798-9번지,기타
화성동탄일반산업단지,(주)진솔루션,경기도 화성시 방교동 874-4번지,전기전자
화성동탄일반산업단지,(주)진양MTS,경기도 화성시 방교동 827-2번지,목재종이출판
화성동탄일반산업단지,(주)찬구화학,경기도 화성시 방교동 839-7,전기전자
화성동탄일반산업단지,(주)창공에프에이,경기도 화성시 방교동 800-6,기타
화성동탄일반산업단지,(주)케이랩,경기도 화성시 방교동 800-4번지,전기전자
화성동탄일반산업단지,(주)케이에스티이   ,경기도 화성시 방교동 797-2번지,전기전자
화성동탄일반산업단지,(주)케이엘테크코퍼레이션,경기도 화성시 방교동 836-4번지,전기전자
화성동탄일반산업단지,(주)케이제이테크놀로지,경기도 화성시 방교동 874-14,기타
화성동탄일반산업단지,(주)케이피엠테크놀러지 ,경기도 화성시 방교동 874-5번지,기타
화성동탄일반산업단지,(주)케이피텍,경기도 화성시 방교동 798-12번지,전기전자
화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 839-2번지,전기전자
화성동탄일반산업단지,(주)코리아인스트루먼트,경기도 화성시 방교동 800-5번지,전기전자
